Company,Position Title,Salary Range (€),Seniority Level,Publishing Date,Skills Required,City,Job Link
GetJet Airlines,Product Manager,"2,000 – 3,000",Mid,2025-04-23,"Windows Server, Agile, Docker, CI/CD",Šiauliai,https://www.linkedin.com/jobs/view/getjet-airlines-product-manager-in-šiauliai/
Adform,Cybersecurity Specialist,"2,000 – 3,000",Junior,2025-04-24,"Azure, Java, Scrum, React",Panevėžys,https://www.linkedin.com/jobs/view/adform-cybersecurity-specialist-in-panevėžys/
Adform,Cloud Architect,"4,000 – 6,000",Mid,2025-04-26,"Microservices, Angular, React, C#",Kaunas,https://www.linkedin.com/jobs/view/adform-cloud-architect-in-kaunas/
TransferGo,Software Engineer,"3,000 – 5,000",Mid,2025-04-12,"CI/CD, Java, NoSQL, Kubernetes",Panevėžys,https://www.linkedin.com/jobs/view/transfergo-software-engineer-in-panevėžys/
Barclays Lithuania,Systems Administrator,"5,000+",Mid,2025-04-21,"Python, Scrum, Kubernetes, Docker",Šiauliai,https://www.linkedin.com/jobs/view/barclays-lithuania-systems-administrator-in-šiauliai/
Barclays Lithuania,QA Engineer,"3,000 – 5,000",Senior,2025-04-10,"Azure, CI/CD, Angular, SQL",Kaunas,https://www.linkedin.com/jobs/view/barclays-lithuania-qa-engineer-in-kaunas/
Flo Health,DevOps Engineer,"3,500 – 5,500",Mid,2025-04-05,"Microservices, Kubernetes, Java, Windows Server",Panevėžys,https://www.linkedin.com/jobs/view/flo-health-devops-engineer-in-panevėžys/
Devbridge,QA Engineer,"2,500 – 4,000",Lead,2025-04-11,"Kubernetes, Azure, Java, Angular",Šiauliai,https://www.linkedin.com/jobs/view/devbridge-qa-engineer-in-šiauliai/
Adform,Systems Administrator,"5,000+",Lead,2025-04-03,"CI/CD, SQL, Kubernetes, Microservices",Vilnius,https://www.linkedin.com/jobs/view/adform-systems-administrator-in-vilnius/
TransferGo,Security Analyst,"2,500 – 4,000",Lead,2025-04-11,"C#, React, Python, Agile",Klaipėda,https://www.linkedin.com/jobs/view/transfergo-security-analyst-in-klaipėda/
Tesonet,Cloud Architect,"2,000 – 3,000",Junior,2025-03-29,"Java, AWS, Windows Server, NoSQL",Panevėžys,https://www.linkedin.com/jobs/view/tesonet-cloud-architect-in-panevėžys/
Planner5d,Cybersecurity Specialist,"2,500 – 4,000",Mid-Senior,2025-04-26,"React, Docker, Java, Scrum",Vilnius,https://www.linkedin.com/jobs/view/planner5d-cybersecurity-specialist-in-vilnius/
Tesonet,Backend Developer,"3,000 – 5,000",Mid-Senior,2025-04-02,"Azure, Scrum, C#, Agile",Šiauliai,https://www.linkedin.com/jobs/view/tesonet-backend-developer-in-šiauliai/
Accenture,Mobile App Developer,"5,000+",Junior,2025-03-31,"Python, Java, NoSQL, Microservices",Kaunas,https://www.linkedin.com/jobs/view/accenture-mobile-app-developer-in-kaunas/
SEB,Mobile App Developer,"3,500 – 5,500",Junior,2025-04-07,"Java, Scrum, Angular, React",Kaunas,https://www.linkedin.com/jobs/view/seb-mobile-app-developer-in-kaunas/
Moody's Lithuania,Cloud Architect,"5,000+",Lead,2025-04-08,"Angular, Agile, Microservices, Java",Vilnius,https://www.linkedin.com/jobs/view/moody's-lithuania-cloud-architect-in-vilnius/
Nord Security,Software Engineer,"5,000+",Mid-Senior,2025-03-30,"Windows Server, SQL, Angular, CI/CD",Šiauliai,https://www.linkedin.com/jobs/view/nord-security-software-engineer-in-šiauliai/
IBM Lithuania,Backend Developer,"5,000+",Mid,2025-04-28,"NoSQL, C#, React, Java",Kaunas,https://www.linkedin.com/jobs/view/ibm-lithuania-backend-developer-in-kaunas/
Moody's Lithuania,Security Analyst,"2,000 – 3,000",Senior,2025-04-25,"Scrum, CI/CD, Kubernetes, Windows Server",Panevėžys,https://www.linkedin.com/jobs/view/moody's-lithuania-security-analyst-in-panevėžys/
Danske Bank,Frontend Developer,"3,000 – 5,000",Mid-Senior,2025-04-03,"Angular, React, Linux, Java",Kaunas,https://www.linkedin.com/jobs/view/danske-bank-frontend-developer-in-kaunas/
Nord Security,Data Engineer,"2,500 – 4,000",Lead,2025-04-18,"C#, Linux, Microservices, Scrum",Panevėžys,https://www.linkedin.com/jobs/view/nord-security-data-engineer-in-panevėžys/
Barclays Lithuania,Cybersecurity Specialist,"3,000 – 5,000",Junior,2025-04-01,"C#, Java, Angular, Docker",Šiauliai,https://www.linkedin.com/jobs/view/barclays-lithuania-cybersecurity-specialist-in-šiauliai/
Devbridge,Systems Administrator,"4,000 – 6,000",Senior,2025-04-07,"NoSQL, Microservices, SQL, Scrum",Panevėžys,https://www.linkedin.com/jobs/view/devbridge-systems-administrator-in-panevėžys/
Moody's Lithuania,Cloud Architect,"3,500 – 5,500",Junior,2025-04-17,"CI/CD, Java, Microservices, Windows Server",Vilnius,https://www.linkedin.com/jobs/view/moody's-lithuania-cloud-architect-in-vilnius/
Planner5d,Frontend Developer,"2,500 – 4,000",Senior,2025-04-02,"Microservices, NoSQL, CI/CD, Agile",Vilnius,https://www.linkedin.com/jobs/view/planner5d-frontend-developer-in-vilnius/
Tesonet,Product Manager,"2,000 – 3,000",Mid,2025-04-12,"Agile, React, Azure, NoSQL",Vilnius,https://www.linkedin.com/jobs/view/tesonet-product-manager-in-vilnius/
Cognizant,Data Engineer,"3,500 – 5,500",Mid,2025-03-31,"Kubernetes, SQL, Docker, React",Vilnius,https://www.linkedin.com/jobs/view/cognizant-data-engineer-in-vilnius/
Nord Security,QA Engineer,"3,500 – 5,500",Junior,2025-04-20,"Docker, React, Linux, Java",Vilnius,https://www.linkedin.com/jobs/view/nord-security-qa-engineer-in-vilnius/
Danske Bank,Cybersecurity Specialist,"5,000+",Mid,2025-04-27,"CI/CD, Kubernetes, Python, React",Vilnius,https://www.linkedin.com/jobs/view/danske-bank-cybersecurity-specialist-in-vilnius/
Sanitex Lietuva,Systems Administrator,"5,000+",Lead,2025-04-15,"Azure, Windows Server, Java, Microservices",Kaunas,https://www.linkedin.com/jobs/view/sanitex-lietuva-systems-administrator-in-kaunas/
Moody's Lithuania,IT Project Manager,"2,000 – 3,000",Lead,2025-04-15,"CI/CD, Azure, AWS, Windows Server",Panevėžys,https://www.linkedin.com/jobs/view/moody's-lithuania-it-project-manager-in-panevėžys/
Barclays Lithuania,IT Project Manager,"5,000+",Mid,2025-04-28,"Python, SQL, CI/CD, Microservices",Šiauliai,https://www.linkedin.com/jobs/view/barclays-lithuania-it-project-manager-in-šiauliai/
Tesonet,Cloud Architect,"4,000 – 6,000",Mid,2025-04-17,"CI/CD, Docker, Agile, Azure",Šiauliai,https://www.linkedin.com/jobs/view/tesonet-cloud-architect-in-šiauliai/
Sanitex Lietuva,IT Project Manager,"4,000 – 6,000",Junior,2025-04-16,"Azure, C#, NoSQL, React",Panevėžys,https://www.linkedin.com/jobs/view/sanitex-lietuva-it-project-manager-in-panevėžys/
Planner5d,Cloud Architect,"3,000 – 5,000",Senior,2025-04-02,"AWS, Scrum, Agile, Angular",Šiauliai,https://www.linkedin.com/jobs/view/planner5d-cloud-architect-in-šiauliai/
Barclays Lithuania,Backend Developer,"2,000 – 3,000",Mid-Senior,2025-04-06,"React, NoSQL, Microservices, Angular",Vilnius,https://www.linkedin.com/jobs/view/barclays-lithuania-backend-developer-in-vilnius/
Danske Bank,Data Scientist,"2,500 – 4,000",Junior,2025-03-31,"SQL, Docker, Microservices, Scrum",Kaunas,https://www.linkedin.com/jobs/view/danske-bank-data-scientist-in-kaunas/
GetJet Airlines,Backend Developer,"2,500 – 4,000",Mid-Senior,2025-04-14,"Kubernetes, Python, Angular, Azure",Panevėžys,https://www.linkedin.com/jobs/view/getjet-airlines-backend-developer-in-panevėžys/
Flo Health,Product Manager,"2,000 – 3,000",Senior,2025-04-03,"AWS, Agile, CI/CD, C#",Šiauliai,https://www.linkedin.com/jobs/view/flo-health-product-manager-in-šiauliai/
Devbridge,Data Scientist,"4,000 – 6,000",Junior,2025-04-01,"Kubernetes, Python, Agile, Microservices",Vilnius,https://www.linkedin.com/jobs/view/devbridge-data-scientist-in-vilnius/
Revolut,IT Business Analyst,"5,000+",Senior,2025-04-24,"Scrum, Azure, Windows Server, Kubernetes",Klaipėda,https://www.linkedin.com/jobs/view/revolut-it-business-analyst-in-klaipėda/
Danske Bank,Software Engineer,"3,000 – 5,000",Senior,2025-04-06,"Linux, SQL, Agile, Angular",Kaunas,https://www.linkedin.com/jobs/view/danske-bank-software-engineer-in-kaunas/
Danske Bank,Software Engineer,"5,000+",Lead,2025-04-18,"Linux, React, Microservices, AWS",Šiauliai,https://www.linkedin.com/jobs/view/danske-bank-software-engineer-in-šiauliai/
Revolut,Product Manager,"4,000 – 6,000",Mid-Senior,2025-04-27,"React, Java, Azure, Scrum",Panevėžys,https://www.linkedin.com/jobs/view/revolut-product-manager-in-panevėžys/
Flo Health,Security Analyst,"2,500 – 4,000",Mid-Senior,2025-04-07,"Windows Server, CI/CD, Angular, Kubernetes",Šiauliai,https://www.linkedin.com/jobs/view/flo-health-security-analyst-in-šiauliai/
Nord Security,Data Engineer,"3,500 – 5,500",Mid-Senior,2025-04-12,"Agile, AWS, Scrum, React",Kaunas,https://www.linkedin.com/jobs/view/nord-security-data-engineer-in-kaunas/
Nord Security,QA Engineer,"3,000 – 5,000",Mid,2025-03-31,"Linux, Microservices, Windows Server, React",Klaipėda,https://www.linkedin.com/jobs/view/nord-security-qa-engineer-in-klaipėda/
Sanitex Lietuva,Cloud Architect,"3,000 – 5,000",Mid,2025-04-20,"AWS, CI/CD, SQL, Scrum",Panevėžys,https://www.linkedin.com/jobs/view/sanitex-lietuva-cloud-architect-in-panevėžys/
Sanitex Lietuva,Mobile App Developer,"4,000 – 6,000",Mid,2025-04-12,"Agile, Scrum, Angular, C#",Klaipėda,https://www.linkedin.com/jobs/view/sanitex-lietuva-mobile-app-developer-in-klaipėda/
Tesonet,QA Engineer,"2,000 – 3,000",Mid-Senior,2025-04-08,"NoSQL, Angular, Azure, React",Šiauliai,https://www.linkedin.com/jobs/view/tesonet-qa-engineer-in-šiauliai/
Flo Health,Frontend Developer,"2,000 – 3,000",Mid,2025-04-05,"React, Azure, CI/CD, Microservices",Kaunas,https://www.linkedin.com/jobs/view/flo-health-frontend-developer-in-kaunas/
Cognizant,DevOps Engineer,"4,000 – 6,000",Mid-Senior,2025-04-08,"Windows Server, AWS, Kubernetes, CI/CD",Panevėžys,https://www.linkedin.com/jobs/view/cognizant-devops-engineer-in-panevėžys/
Tietoevry,Backend Developer,"3,000 – 5,000",Mid,2025-04-22,"Agile, Linux, NoSQL, Windows Server",Šiauliai,https://www.linkedin.com/jobs/view/tietoevry-backend-developer-in-šiauliai/
SEB,Mobile App Developer,"4,000 – 6,000",Mid-Senior,2025-04-09,"Python, Kubernetes, Microservices, Scrum",Panevėžys,https://www.linkedin.com/jobs/view/seb-mobile-app-developer-in-panevėžys/
Barclays Lithuania,Frontend Developer,"2,500 – 4,000",Lead,2025-04-25,"C#, React, Java, AWS",Kaunas,https://www.linkedin.com/jobs/view/barclays-lithuania-frontend-developer-in-kaunas/
Sanitex Lietuva,Cybersecurity Specialist,"3,000 – 5,000",Senior,2025-04-12,"Kubernetes, CI/CD, React, Java",Vilnius,https://www.linkedin.com/jobs/view/sanitex-lietuva-cybersecurity-specialist-in-vilnius/
Tietoevry,Data Engineer,"4,000 – 6,000",Junior,2025-04-08,"Java, Windows Server, NoSQL, Scrum",Šiauliai,https://www.linkedin.com/jobs/view/tietoevry-data-engineer-in-šiauliai/
Tesonet,Systems Administrator,"2,000 – 3,000",Mid-Senior,2025-04-13,"C#, Kubernetes, Linux, Azure",Vilnius,https://www.linkedin.com/jobs/view/tesonet-systems-administrator-in-vilnius/
Tesonet,Data Engineer,"5,000+",Senior,2025-03-29,"Python, Azure, Scrum, Windows Server",Panevėžys,https://www.linkedin.com/jobs/view/tesonet-data-engineer-in-panevėžys/
Tietoevry,Mobile App Developer,"3,500 – 5,500",Mid-Senior,2025-04-14,"CI/CD, AWS, Windows Server, Agile",Klaipėda,https://www.linkedin.com/jobs/view/tietoevry-mobile-app-developer-in-klaipėda/
SEB,Systems Administrator,"2,000 – 3,000",Mid,2025-04-26,"SQL, Azure, Java, React",Panevėžys,https://www.linkedin.com/jobs/view/seb-systems-administrator-in-panevėžys/
TransferGo,Security Analyst,"3,000 – 5,000",Junior,2025-04-11,"Scrum, Windows Server, AWS, SQL",Panevėžys,https://www.linkedin.com/jobs/view/transfergo-security-analyst-in-panevėžys/
Tesonet,Backend Developer,"3,000 – 5,000",Senior,2025-04-23,"Docker, AWS, Linux, Scrum",Vilnius,https://www.linkedin.com/jobs/view/tesonet-backend-developer-in-vilnius/
Wix.com,QA Engineer,"3,500 – 5,500",Mid-Senior,2025-04-25,"Python, C#, Agile, React",Kaunas,https://www.linkedin.com/jobs/view/wix.com-qa-engineer-in-kaunas/
SEB,Product Manager,"3,000 – 5,000",Mid-Senior,2025-04-26,"Scrum, AWS, Microservices, Agile",Kaunas,https://www.linkedin.com/jobs/view/seb-product-manager-in-kaunas/
Revolut,Software Engineer,"5,000+",Lead,2025-04-13,"Java, Scrum, Angular, NoSQL",Kaunas,https://www.linkedin.com/jobs/view/revolut-software-engineer-in-kaunas/
TransferGo,QA Engineer,"2,000 – 3,000",Senior,2025-04-25,"AWS, Agile, Microservices, Azure",Šiauliai,https://www.linkedin.com/jobs/view/transfergo-qa-engineer-in-šiauliai/
Vinted,IT Project Manager,"2,000 – 3,000",Senior,2025-04-06,"C#, CI/CD, Azure, Python",Panevėžys,https://www.linkedin.com/jobs/view/vinted-it-project-manager-in-panevėžys/
Accenture,Software Engineer,"3,500 – 5,500",Senior,2025-04-24,"Java, Linux, React, Agile",Klaipėda,https://www.linkedin.com/jobs/view/accenture-software-engineer-in-klaipėda/
Sanitex Lietuva,IT Business Analyst,"2,000 – 3,000",Lead,2025-04-23,"SQL, Kubernetes, Scrum, React",Klaipėda,https://www.linkedin.com/jobs/view/sanitex-lietuva-it-business-analyst-in-klaipėda/
Adform,IT Business Analyst,"3,000 – 5,000",Mid-Senior,2025-04-07,"Azure, Angular, Python, React",Šiauliai,https://www.linkedin.com/jobs/view/adform-it-business-analyst-in-šiauliai/
Vinted,Cybersecurity Specialist,"3,500 – 5,500",Mid-Senior,2025-04-07,"Scrum, AWS, Docker, Agile",Kaunas,https://www.linkedin.com/jobs/view/vinted-cybersecurity-specialist-in-kaunas/
Planner5d,QA Engineer,"4,000 – 6,000",Lead,2025-04-15,"Microservices, SQL, Linux, Windows Server",Panevėžys,https://www.linkedin.com/jobs/view/planner5d-qa-engineer-in-panevėžys/
Revolut,QA Engineer,"3,000 – 5,000",Mid-Senior,2025-04-07,"Docker, Microservices, Python, Linux",Panevėžys,https://www.linkedin.com/jobs/view/revolut-qa-engineer-in-panevėžys/
Tietoevry,IT Business Analyst,"2,000 – 3,000",Junior,2025-04-15,"Azure, Microservices, Java, Agile",Vilnius,https://www.linkedin.com/jobs/view/tietoevry-it-business-analyst-in-vilnius/
TransferGo,Mobile App Developer,"4,000 – 6,000",Mid-Senior,2025-04-24,"Linux, Kubernetes, CI/CD, C#",Kaunas,https://www.linkedin.com/jobs/view/transfergo-mobile-app-developer-in-kaunas/
Tesonet,Mobile App Developer,"2,500 – 4,000",Senior,2025-04-16,"NoSQL, Windows Server, C#, Linux",Šiauliai,https://www.linkedin.com/jobs/view/tesonet-mobile-app-developer-in-šiauliai/
Danske Bank,DevOps Engineer,"3,000 – 5,000",Lead,2025-04-19,"C#, Python, Microservices, Azure",Vilnius,https://www.linkedin.com/jobs/view/danske-bank-devops-engineer-in-vilnius/
Sanitex Lietuva,Systems Administrator,"4,000 – 6,000",Mid,2025-04-27,"AWS, Microservices, SQL, NoSQL",Panevėžys,https://www.linkedin.com/jobs/view/sanitex-lietuva-systems-administrator-in-panevėžys/
Flo Health,Security Analyst,"4,000 – 6,000",Lead,2025-04-18,"Azure, Angular, React, Python",Klaipėda,https://www.linkedin.com/jobs/view/flo-health-security-analyst-in-klaipėda/
Tietoevry,Security Analyst,"5,000+",Mid,2025-04-19,"SQL, AWS, Microservices, Windows Server",Vilnius,https://www.linkedin.com/jobs/view/tietoevry-security-analyst-in-vilnius/
Danske Bank,Mobile App Developer,"2,500 – 4,000",Mid,2025-04-14,"Linux, React, AWS, Agile",Vilnius,https://www.linkedin.com/jobs/view/danske-bank-mobile-app-developer-in-vilnius/
Moody's Lithuania,Frontend Developer,"2,000 – 3,000",Mid,2025-04-15,"Python, AWS, C#, Linux",Vilnius,https://www.linkedin.com/jobs/view/moody's-lithuania-frontend-developer-in-vilnius/
Tietoevry,IT Business Analyst,"3,000 – 5,000",Lead,2025-04-01,"Agile, Scrum, NoSQL, React",Vilnius,https://www.linkedin.com/jobs/view/tietoevry-it-business-analyst-in-vilnius/
Tesonet,Cybersecurity Specialist,"5,000+",Lead,2025-04-08,"Python, CI/CD, Microservices, Windows Server",Kaunas,https://www.linkedin.com/jobs/view/tesonet-cybersecurity-specialist-in-kaunas/
Tesonet,Mobile App Developer,"2,000 – 3,000",Lead,2025-04-03,"CI/CD, Scrum, React, Linux",Vilnius,https://www.linkedin.com/jobs/view/tesonet-mobile-app-developer-in-vilnius/
Flo Health,IT Project Manager,"5,000+",Junior,2025-04-28,"Angular, Azure, Windows Server, NoSQL",Vilnius,https://www.linkedin.com/jobs/view/flo-health-it-project-manager-in-vilnius/
